부처,SEED_ID(솔루션),SEED_ID,기관,게시판명,URL,수집결과,etc_2,etc_1,Crawler,TR,Title,Date,DateFormat,ClickCSS,날짜수정,a_href,click,content_Title,content_WriteDate,content_StartDate,content_EndDate,content_DateFormat,content_Body,content_Files,content_File_url,
과학기술정보통신부,,20033,국가수리과학연구소,입찰공고,https://www.nims.re.kr/promote/post/bidding,X,Date 불필요한 정보 있음 가공 필요,ModifyDate,,div.content_body div.board-item,p.bbs_tit a,p.s_info,|YYYY-MM-DD,,"연구교류센터 수학문화팀 
  
  | 
  
  2017-08-08",https://www.nims.re.kr,,#container > div.content_body > div.board_header > h2,,,,,#container > div.content_body > div.board_body,onclick,,"onclick=""javascript:downLocation('1522141651987_6149.hwp', '입찰공고문(재공고).hwp');""
 입찰마감일 2018-04-02"
과학기술정보통신부,378,20034,국가핵융합연구소,공지사항,https://www.nfri.re.kr/kor/post/notice,X,verify=False,타이틀에 불필요한 정보 (진행중),,div.board_list table > tbody > tr,td.title a,td:nth-of-type(3),YYYY-MM-DD,,,https://www.nfri.re.kr/kor/post/,,div.board_header > h4 > strong,,div.board_header > div.board_right > div > p,div.board_header > div.board_right > div > p,YYYY-MM-DD~YYYY-MM-DD,div.board_body > div.txt,onclick,,"onclick=""javascript:downLocation('efcfdeaf3cfb4f7ba06feba4c2c55d48.hwp');""
 2017-12-29 ~ 2018-01-03"
과학기술정보통신부,755,20035,국가핵융합연구소,입찰공고,https://www.nfri.re.kr/kor/post/bidding_notice,X,verify=False,타이틀에 불필요한 정보 (진행중),,div.board_list table > tbody > tr,td.title a,td:nth-of-type(3),YYYY-MM-DD,,,https://www.nfri.re.kr/kor/post/,,div.board_header > h4 > strong,,div.board_header > div.board_right > div > p,div.board_header > div.board_right > div > p,YYYY-MM-DD~YYYY-MM-DD,div.board_body > div.txt,onclick,,"onclick=""javascript:downLocation('efcfdeaf3cfb4f7ba06feba4c2c55d48.hwp');""
 2017-12-29 ~ 2018-01-03"
과학기술정보통신부,756,20036,국가핵융합연구소,사업공고,https://www.nfri.re.kr/kor/post/business_notice,X,verify=False,타이틀에 불필요한 정보 (진행중),,div.board_list table > tbody > tr,td.title a,td:nth-of-type(3),YYYY-MM-DD,,,https://www.nfri.re.kr/kor/post/,,div.board_header > h4 > strong,,div.board_header > div.board_right > div > p,div.board_header > div.board_right > div > p,YYYY-MM-DD~YYYY-MM-DD,div.board_body > div.txt,onclick,,"onclick=""javascript:downLocation('efcfdeaf3cfb4f7ba06feba4c2c55d48.hwp');""
 2017-12-29 ~ 2018-01-03"
과학기술정보통신부,379,20037,한국정보통신기술협회,공지사항,http://www.tta.or.kr/news/notice.jsp,X,,,,table.board_list > tbody > tr,td.t_left a,td:nth-of-type(3),YYYY .MM .DD,,,http://www.tta.or.kr/news/,,div.content > div.board_view_info1 tbody > tr:nth-of-type(1) > td > span,,,,,div.content > div.board_view_info1 tbody > tr:nth-of-type(3) > td,div.content > div.board_view_info1 tbody > tr:nth-of-type(4) > td > ul > li > a,http://www.tta.or.kr,
과학기술정보통신부,,20038,한국정보통신기술협회,입찰공고,http://www.tta.or.kr/news/tender.jsp,X,추가,,,table.board_list > tbody > tr,td.t_left a,td:nth-of-type(3),YYYY .MM.DD,,,http://www.tta.or.kr/news/,,div.content > div.board_view_info1 tr:nth-of-type(1) > td > span,,,,,div.content > div.board_view_info1 tr:nth-of-type(3) > td,div.content > div.board_view_info1 tr:nth-of-type(4) > td > ul > li > a,http://www.tta.or.kr,
과학기술정보통신부,497,20039,한국과학기술정보연구원,연구과제공모,https://www.kisti.re.kr/notifications/post/research-task,X,,,,div.bbs_list_box > div.board-item,p.bbs_tit a,span.date,YYYY-MM-DD,,,https://www.kisti.re.kr,,#content > div.board_header > h2,,,,,#content > div.board_body,onclick,,"onclick=""javascript:downLocation('1499664657622_5660.hwp', '(붙임1)위탁연구과제 제안요청서.hwp');"""
과학기술정보통신부,757,20040,한국과학기술정보연구원,공지사항,http://www.kisti.re.kr/notifications/post/notice,X,,,,div.bbs_list_box > div.board-item,p.bbs_tit a,span.date,YYYY-MM-DD,,,https://www.kisti.re.kr,,#content > div.board_header > h2,,,,,#content > div.board_body,onclick,,"onclick=""javascript:downLocation('1510637402301_8378.hwp', '열린정책자문단 참여 방법 안내.hwp');"""
과학기술정보통신부,700,20041,국가연구시설장비진흥센터,사업공고,http://www.nfec.go.kr/cop/bbs/BBSMSTR_000000000003/selectBoardList.do,X,수정,,,table.basic_table > tbody > tr,div.list_subject a,td.date,YYYY-MM-DD,,,http://www.nfec.go.kr,,div.prog_content tbody > tr:nth-of-type(1) > td,,,,,div.prog_content > div.tbl_cnts,javascript,,"href=""javascript:fn_egov_downFile('FILE_000000000015694','2')"""
과학기술정보통신부,,20042,정보통신기술진흥센터,입찰공고,https://www.iitp.kr/kr/1/notice/bid.it,X,,,O,div.table-responsive table.one-title > tbody > tr,td.comment-group0 a,td:nth-of-type(4),YYYY-MM-DD,,,onclick,"onclick=""post_to_url( '/kr/1/notice/bid/view.it;jsessionid=FD5679A3AA88C690DFA8633E33B83D8C.tomcat2?ArticleIdx=2755&count=true&page=1','post');""",,,,,,,,,
