부처,SEED_ID,기관,게시판명,URL,수집결과,etc_2,etc_1,Crawler,TR,Title,Date,DateFormat,ClickCSS,날짜수정,a_href,click,content_Title,content_WriteDate,content_StartDate,content_EndDate,content_Body,content_Files,content_File_url,
과학기술정보통신부,368,한국전기연구원,공지사항,http://www.keri.re.kr/_prog/_board/?code=sub0501&site_dvs_cd=kr&menu_dvs_cd=0501,X,,utf-8,,div.board_list table > tbody > tr,td.title a,td:nth-of-type(3),YYYY-MM-DD,,,,,,,,,,,,
과학기술정보통신부,369,한국에너지기술연구원,안내사항,http://www.kier.re.kr/information/notice_list.jsp,X,,,,table.tbl_list > tbody > tr,td.tl a,td:nth-of-type(4),YYYY-MM-DD,,,,,,,,,,,,
과학기술정보통신부,373,한국지질자원연구원,공지사항,http://www.kigam.re.kr/brdartcl/boardarticleList.do?brd_id=BDIDX_62Ouf5d9Lv0syV9Yi1B11m&menu_nix=7y84E29F,X,,타이틀에 … 표시,,table.tstyle_list > tbody > tr,td.ellipsis a span,td:nth-of-type(4),YYYY-MM-DD,,,,,,,,,,,,
과학기술정보통신부,,한국지질자원연구원,입찰정보,http://www.kigam.re.kr/brdartcl/boardarticleList.do?brd_id=BDIDX_ztTAx322wRtl07OmBqx7X6&menu_nix=U62kj103,X,추가,"NoDate, 글내용에 등록일 있음",X,,,,,,,,,,,,,,,,
과학기술정보통신부,374,한국철도기술연구원,공지사항,http://www.krri.re.kr/_prog/_board/?code=sub06_060501&site_dvs_cd=kr&menu_dvs_cd=060501,X,,utf-8,,div.board_list table > tbody > tr,td.title a,td.date,YYYY-MM-DD,,,,,,,,,,,,
과학기술정보통신부,753,한국철도기술연구원,공지사항,http://www.krri.re.kr/_prog/_board/?code=sub06_060101&site_dvs_cd=kr&menu_dvs_cd=060101,X,,utf-8,,div.board_list table > tbody > tr,td.title a,td.date,YYYY-MM-DD,,,,,,,,,,,,
과학기술정보통신부,377,국가수리과학연구소,공지사항,https://www.nims.re.kr/notice/post/notification,X,,요청이 오래걸려서 예외발생할수 있음,,div.content_body div.board-item,p.bbs_tit a,span.date,YYYY-MM-DD,,,,,,,,,,,,
과학기술정보통신부,,국가수리과학연구소,입찰공고,https://www.nims.re.kr/promote/post/bidding,X,Date 불필요한 정보 있음 가공 필요,ModifyDate,,div.content_body div.board-item,p.bbs_tit a,p.s_info,|YYYY-MM-DD,,"연구교류센터 수학문화팀 
  
  | 
  
  2017-08-08",,,,,,,,,,
과학기술정보통신부,378,국가핵융합연구소,공지사항,https://www.nfri.re.kr/kor/post/notice,X,verify=False,타이틀에 불필요한 정보 (진행중),,div.board_list table > tbody > tr,td.title a,td:nth-of-type(3),YYYY-MM-DD,,,,,,,,,,,,
과학기술정보통신부,755,국가핵융합연구소,입찰공고,https://www.nfri.re.kr/kor/post/bidding_notice,X,verify=False,타이틀에 불필요한 정보 (진행중),,div.board_list table > tbody > tr,td.title a,td:nth-of-type(3),YYYY-MM-DD,,,,,,,,,,,,
