WEB_CRLN_ID,DEPT_NM,ORG_NM,BD_NM,URL,USE_YN,ETC_1,ETC_2,ELMT_TR_CSS_INF,ELMT_TITLE_CSS_INF,ELMT_RO_REG_DT_CSS_INF,ELMT_RO_REG_DT_TYP_CD,ELMT_SLNM_CSS_INF,ELMT_RO_URL_CSS_INF,ELMT_RO_TITLE_CSS_INF,ELMT_RO_BDTXT_CSS_INF,ELMT_RO_START_DT_CSS_INF,ELMT_RO_END_DT_CSS_INF,ELMT_RO_START_END_DT_TYP_CD,ELMT_RO_FILE_NM_CSS_INF,ELMT_RO_FILE_URL_CSS_INF,
20015,과학기술정보통신부,한국한의학연구원,공지사항,https://www.kiom.re.kr/brdartcl/boardarticleList.do?brd_id=BDIDX_d7GWpghE0eM6NOITzZFwaw&menu_nix=7eb3O1lV,Y,,,div.contentDetail form table.tableBoard > tbody > tr,td.ellipsis a span,td.date,YYYY-MM-DD,,href=javascript,,,,,,,,
20016,과학기술정보통신부,한국한의학연구원,입찰공고,https://www.kiom.re.kr/brdartcl/boardarticleList.do?brd_id=BDIDX_eDw708IzDO8nJ21Z7w0J81&menu_nix=Pex87OF4,Y,,추가,div.contentDetail form table.tableBoard > tbody > tr,td.ellipsis a span,td.date,YYYY-MM-DD,,href=javascript,,,,,,,,
20017,과학기술정보통신부,한국항공우주연구원,과제공고,https://kpms.kari.re.kr/project/announcement.do,X,NoDate,수정,,,,,,,,,,,,,,
20018,과학기술정보통신부,한국항공우주연구원,공지사항,http://www.kari.re.kr/cop/bbs/BBSMSTR_000000000001/selectBoardList.do,Y,ModifyDate,추가,#contents > ul > li,p.subject a,p.infor span.date,작성일YYYY-MM-DD,,https://www.kari.re.kr,#contents > div.board_view > h4,#contents > div.board_view > div,,,,javascript,,"파일오픈, href=""javascript:fn_egov_downFile('FILE_000000000005623','0')"""
20019,과학기술정보통신부,연구개발특구진흥재단,공지사항,https://www.innopolis.or.kr/sub0401,Y,타이틀 최신글에 New제거,,table.board_table > tbody > tr,td.subject ul > li.ellipsis a,td:nth-of-type(5),YYYY.MM.DD,,https://www.innopolis.or.kr,#content > div > div > table.table_line tr:nth-of-type(1) > th > strong,#contents,,,,#content_area ul.playlist > li > a,https://www.innopolis.or.kr,
20020,과학기술정보통신부,연구개발특구진흥재단,사업공고,https://www.innopolis.or.kr/sub0402,Y,,,table.board_table > tbody > tr,td.subject ul > li.ellipsis a,td:nth-of-type(5),YYYY.MM.DD,,https://www.innopolis.or.kr,#content > div > div > table.table_line tr:nth-of-type(1) > th > strong,#contents,,,,#content_area ul.playlist > li > a,https://www.innopolis.or.kr,
20021,과학기술정보통신부,연구개발특구진흥재단,입찰공고,https://www.innopolis.or.kr/sub0403,Y,,추가,table.board_table > tbody > tr,td.subject ul > li.ellipsis a,td:nth-of-type(5),YYYY.MM.DD,,https://www.innopolis.or.kr,#content > div > div > table.table_line tr:nth-of-type(1) > th > strong,#contents,,,,#content_area ul.playlist > li > a,https://www.innopolis.or.kr,
20022,과학기술정보통신부,한국기계연구원,공지사항,https://www.kimm.re.kr/notice,Y,,,table.board > tbody > tr,td.left a,td:nth-of-type(4),YYYY-MM-DD,,https://www.kimm.re.kr,#contents thead > tr:nth-of-type(1) > th,#contents tbody > tr:nth-of-type(1) > td,,,,onclick,,"onclick=""location.replace('/attach/filedownloads/do_down/no/1557/tm/28f68a0230aac1a07ebb98abdca4a314'); return false;"""
20023,과학기술정보통신부,한국기계연구원,입찰공고,https://www.kimm.re.kr/bidding,Y,,추가,table.board > tbody > tr,td.left a,td:nth-of-type(6),YYYY-MM-DD,,https://www.kimm.re.kr,#contents thead > tr:nth-of-type(2) > td,emptyBody,,#contents thead > tr:nth-of-type(5) > td:nth-of-type(1),,onclick,,"onclick=""location.replace('/bidding/bid_notice/filedown/id/1812/field/attach1');"
20024,과학기술정보통신부,한국식품연구원,공지사항,http://www.kfri.re.kr/cop/bbs/selectBoardList.do?bbsId=BBSMSTR_000000000073&menuId=MNU_0000000000000319,Y,,,div.boardRapper_v table > tbody > tr,td.alignLeft a,td:nth-of-type(4),YYYY.MM.DD,,http://www.kfri.re.kr,#contents div.view_tit > span,#contents div.view_cont,,,,#contents div.view_download > p > a,http://www.kfri.re.kr,
20025,과학기술정보통신부,한국식품연구원,구매(입찰)정보,http://www.kfri.re.kr/cop/bbs/selectBoardList.do?bbsId=BBSMSTR_000000000066&menuId=MNU_0000000000000321,Y,,추가,div.boardRapper_v table > tbody > tr,td.alignLeft a,td:nth-of-type(4),YYYY.MM.DD,,http://www.kfri.re.kr,#contents div.view_tit > span,#contents div.view_cont,,,,#contents div.view_download > p > a,http://www.kfri.re.kr,
20026,과학기술정보통신부,한국전기연구원,공지사항,http://www.keri.re.kr/_prog/_board/?code=sub0501&site_dvs_cd=kr&menu_dvs_cd=0501,Y,utf-8,,div.board_list table > tbody > tr,td.title a,td:nth-of-type(3),YYYY-MM-DD,,http://www.keri.re.kr/_prog/_board,#txt > div.board_viewTit > h4,#txt > div.board_viewDetail,,,,#txt > ul > li.file > div > a,http://www.keri.re.kr/_prog/_board/,타이틀에 '제 목' 있음
20027,과학기술정보통신부,한국에너지기술연구원,안내사항,http://www.kier.re.kr/information/notice_list.jsp,Y,,,table.tbl_list > tbody > tr,td.tl a,td:nth-of-type(4),YYYY-MM-DD,,href=javascript,,,,,,,,
20028,과학기술정보통신부,한국지질자원연구원,공지사항,http://www.kigam.re.kr/brdartcl/boardarticleList.do?brd_id=BDIDX_62Ouf5d9Lv0syV9Yi1B11m&menu_nix=7y84E29F,Y,타이틀에 … 표시,,table.tstyle_list > tbody > tr,td.ellipsis a span,td:nth-of-type(4),YYYY-MM-DD,,href=javascript,,,,,,,,
20029,과학기술정보통신부,한국지질자원연구원,입찰정보,http://www.kigam.re.kr/brdartcl/boardarticleList.do?brd_id=BDIDX_ztTAx322wRtl07OmBqx7X6&menu_nix=U62kj103,X,"NoDate,글내용 등록일 있음",추가,,,,,,,,,,,,,,
